year;week;other;electric
2010;1;17;0
2010;2;2776;0
2010;3;1953;0
2010;4;2078;0
2010;5;2873;0
2010;6;2016;0
2010;7;2137;0
2010;8;2311;1
2010;9;2629;0
2010;10;1915;9
2010;11;2075;10
2010;12;2574;16
2010;13;3353;7
2010;14;1531;0
2010;15;1848;4
2010;16;2603;6
2010;17;2836;16
2010;18;3349;16
2010;19;2204;1
2010;20;2073;5
2010;21;2063;14
2010;22;2620;15
2010;23;2786;7
2010;24;2588;1
2010;25;2531;9
2010;26;2647;5
2010;27;3859;1
2010;28;2395;0
2010;29;2200;2
2010;30;2214;4
2010;31;2269;4
2010;32;1919;5
2010;33;1980;4
2010;34;2257;25
2010;35;2572;12
2010;36;2986;15
2010;37;2304;14
2010;38;2460;7
2010;39;2542;6
2010;40;2926;22
2010;41;2071;6
2010;42;2213;14
2010;43;2428;8
2010;44;3432;6
2010;45;2519;4
2010;46;2491;14
2010;47;2509;5
2010;48;2607;4
2010;49;3065;8
2010;50;2020;6
2010;51;2409;8
2010;52;2174;4
2010;53;2192;5
2011;2;2932;25
2011;3;2135;16
2011;4;2074;14
2011;5;2302;51
2011;6;2578;30
2011;7;2245;39
2011;8;2485;30
2011;9;2848;23
2011;10;2868;40
2011;11;2403;72
2011;12;2796;53
2011;13;2557;48
2011;14;3663;48
2011;15;2521;38
2011;16;3272;47
2011;17;1516;11
2011;18;3332;34
2011;19;2548;28
2011;20;2978;30
2011;21;2313;34
2011;22;3245;39
2011;23;2778;23
2011;24;2611;21
2011;25;2108;23
2011;26;2534;17
2011;27;3599;21
2011;28;2678;8
2011;29;2403;15
2011;30;2281;8
2011;31;2197;8
2011;32;1855;11
2011;33;2162;25
2011;34;2322;14
2011;35;2358;59
2011;36;3563;40
2011;37;2054;54
2011;38;2363;44
2011;39;2620;38
2011;40;3577;54
2011;41;2281;46
2011;42;2413;54
2011;43;2664;46
2011;44;3057;29
2011;45;2950;45
2011;46;2647;43
2011;47;2589;80
2011;48;2772;88
2011;49;2948;125
2011;50;2364;69
2011;51;2818;54
2011;52;2883;46
2011;53;2286;42
2012;1;2996;29
2012;2;2198;52
2012;3;2021;64
2012;4;2053;80
2012;5;2552;58
2012;6;2165;79
2012;7;2387;66
2012;8;2390;74
2012;9;3338;82
2012;10;2263;68
2012;11;2623;56
2012;12;2666;100
2012;13;4274;80
2012;14;915;15
2012;15;2044;47
2012;16;2992;57
2012;17;3706;103
2012;18;2637;66
2012;19;2743;73
2012;20;2245;62
2012;21;3023;49
2012;22;3018;96
2012;23;2181;46
2012;24;2561;48
2012;25;2709;58
2012;26;2941;109
2012;27;3687;42
2012;28;2474;48
2012;29;2335;56
2012;30;2022;64
2012;31;2385;82
2012;32;2151;78
2012;33;2367;81
2012;34;2342;86
2012;35;3286;147
2012;36;2045;68
2012;37;2362;114
2012;38;2589;136
2012;39;3523;265
2012;40;2100;73
2012;41;2383;106
2012;42;2562;85
2012;43;2655;87
2012;44;3289;94
2012;45;2383;53
2012;46;2630;19
2012;47;2516;115
2012;48;3179;103
2012;49;1953;72
2012;50;2418;62
2012;51;3526;68
2012;52;1183;30
2012;53;33;0
2013;1;1905;76
2013;2;2326;75
2013;3;2252;67
2013;4;2358;66
2013;5;2917;64
2013;6;2294;80
2013;7;2532;68
2013;8;2465;101
2013;9;3638;82
2013;10;2404;96
2013;11;2581;86
2013;12;3302;101
2013;13;1707;52
2013;14;2099;87
2013;15;2784;94
2013;16;2885;124
2013;17;3466;107
2013;18;3263;102
2013;19;2124;74
2013;20;2428;97
2013;21;2336;60
2013;22;3777;97
2013;23;2601;86
2013;24;2500;101
2013;25;2528;86
2013;26;2939;99
2013;27;3296;63
2013;28;2144;59
2013;29;2066;53
2013;30;1790;49
2013;31;2510;90
2013;32;2021;112
2013;33;2301;120
2013;34;2254;181
2013;35;3616;251
2013;36;2030;205
2013;37;2225;258
2013;38;2440;198
2013;39;3268;322
2013;40;2970;179
2013;41;2121;181
2013;42;2429;206
2013;43;2516;189
2013;44;3469;259
2013;45;2110;190
2013;46;2304;298
2013;47;2422;368
2013;48;3433;550
2013;49;2056;333
2013;50;2413;430
2013;51;3546;420
2013;52;1138;53
2013;53;969;37
2014;1;1242;206
2014;2;2284;253
2014;3;2060;246
2014;4;2046;173
2014;5;2673;223
2014;6;2103;280
2014;7;2241;293
2014;8;2284;339
2014;9;3228;471
2014;10;2100;436
2014;11;2373;590
2014;12;2519;611
2014;13;3059;1041
2014;14;2876;366
2014;15;2810;345
2014;16;1209;97
2014;17;2050;296
2014;18;3249;326
2014;19;2570;346
2014;20;2736;345
2014;21;2498;327
2014;22;2830;293
2014;23;2453;316
2014;24;1962;271
2014;25;2406;367
2014;26;2515;376
2014;27;3390;380
2014;28;1967;234
2014;29;1871;260
2014;30;1725;265
2014;31;2384;413
2014;32;1894;379
2014;33;2209;448
2014;34;2212;441
2014;35;3040;396
2014;36;1861;225
2014;37;1922;212
2014;38;2208;268
2014;39;2583;348
2014;40;2855;419
2014;41;2068;266
2014;42;2276;291
2014;43;2502;294
2014;44;3588;373
2014;45;2084;222
2014;46;2363;293
2014;47;2307;390
2014;48;3300;512
2014;49;2035;345
2014;50;2301;336
2014;51;3344;548
2014;52;1428;170
2014;53;2017;129
2015;1;432;94
2015;2;1990;483
2015;3;1902;436
2015;4;1696;407
2015;5;2608;475
2015;6;1787;327
2015;7;1839;362
2015;8;2120;521
2015;9;3023;706
2015;10;1780;545
2015;11;2085;634
2015;12;2268;573
2015;13;3041;1339
2015;14;1740;328
2015;15;1605;415
2015;16;2735;496
2015;17;2922;532
2015;18;3405;504
2015;19;2273;467
2015;20;2100;417
2015;21;2834;508
2015;22;2955;472
2015;23;2493;490
2015;24;2556;495
2015;25;2660;617
2015;26;2569;638
2015;27;3558;641
2015;28;2238;363
2015;29;1936;366
2015;30;1869;330
2015;31;2358;442
2015;32;1991;455
2015;33;2343;569
2015;34;2411;492
2015;35;2673;538
2015;36;2416;434
2015;37;1886;455
2015;38;2124;498
2015;39;2397;494
2015;40;3201;515
2015;41;1987;416
2015;42;2231;498
2015;43;2379;447
2015;44;3831;527
2015;45;1934;424
2015;46;2292;477
2015;47;2402;522
2015;48;2773;507
2015;49;2679;446
2015;50;2077;463
2015;51;2757;567
2015;52;2002;325
2015;53;2744;287
2016;1;31;2
2016;2;2794;583
2016;3;1905;514
2016;4;1605;310
2016;5;2744;496
2016;6;1826;365
2016;7;2199;389
2016;8;2449;492
2016;9;2779;520
2016;10;2790;580
2016;11;2275;578
2016;12;2918;527
2016;13;1117;318
2016;14;3612;804
2016;15;2201;460
2016;16;2581;522
2016;17;2835;403
2016;18;4127;553
2016;19;1824;271
2016;20;2900;431
2016;21;1484;224
2016;22;3216;319
2016;23;3515;336
2016;24;2659;317
2016;25;2640;358
2016;26;2550;460
2016;27;3647;668
2016;28;2539;225
2016;29;2148;208
2016;30;1772;195
2016;31;2256;418
2016;32;1687;284
2016;33;2192;406
2016;34;2388;413
2016;35;2439;505
2016;36;3352;567
2016;37;2026;561
2016;38;2195;479
2016;39;2482;573
2016;40;3701;853
2016;41;1921;332
2016;42;1979;337
2016;43;2334;393
2016;44;2743;606
2016;45;2767;526
2016;46;2089;510
2016;47;2170;496
2016;48;2411;543
2016;49;3035;838
2016;50;2050;505
2016;51;2644;565
2016;52;2883;613
2016;53;2955;471
2017;1;3286;611
2017;2;2216;488
2017;3;1880;526
2017;4;2030;451
2017;5;2608;445
2017;6;2159;413
2017;7;2308;487
2017;8;2240;420
2017;9;2938;525
2017;10;1922;537
2017;11;2103;636
2017;12;2264;655
2017;13;3318;788
2017;14;2465;544
2017;15;931;131
2017;16;2244;426
2017;17;3999;582
2017;18;2004;323
2017;19;2545;435
2017;20;2533;382
2017;21;2511;498
2017;22;3279;827
2017;23;1735;737
2017;24;2415;944
2017;25;2507;1047
2017;26;2868;928
2017;27;3386;492
2017;28;1917;403
2017;29;1806;418
2017;30;1804;400
2017;31;2012;409
2017;32;2103;477
2017;33;2295;599
2017;34;2409;752
2017;35;2878;739
2017;36;1755;472
2017;37;1912;738
2017;38;2131;985
2017;39;3405;1567
2017;40;1763;706
2017;41;1978;660
2017;42;2075;551
2017;43;2334;505
2017;44;2839;503
2017;45;2209;470
2017;46;2301;559
2017;47;2543;707
2017;48;3203;857
2017;49;2110;989
2017;50;2632;1161
2017;51;3452;1630
2017;52;3045;490
2017;53;20;0
2018;1;1185;514
2018;2;1345;597
2018;3;1398;424
2018;4;1538;297
2018;5;2186;378
2018;6;1755;352
2018;7;1819;535
2018;8;1763;648
2018;9;2734;824
2018;10;1798;858
2018;11;2003;1153
2018;12;2905;1861
2018;13;1684;1245
2018;14;1662;614
2018;15;2163;863
2018;16;2428;887
2018;17;3253;984
2018;18;2501;681
2018;19;1876;633
2018;20;1975;447
2018;21;2155;542
2018;22;3098;908
2018;23;2206;783
2018;24;2473;949
2018;25;2890;1004
2018;26;3829;1142
2018;27;1773;512
2018;28;1659;475
2018;29;1535;493
2018;30;1470;501
2018;31;1675;651
2018;32;1715;736
2018;33;1991;817
2018;34;2148;1022
2018;35;3727;1237
2018;36;1162;900
2018;37;1200;1024
2018;38;1303;1374
2018;39;2146;1504
2018;40;1211;707
2018;41;1324;927
2018;42;1432;1067
2018;43;1541;970
2018;44;2154;1088
2018;45;1386;1040
2018;46;1577;1137
2018;47;1599;1165
2018;48;2172;1506
2018;49;1468;1185
2018;50;1691;1570
2018;51;2817;1939
2018;52;1305;398
2018;53;34;24
2019;1;564;578
2019;2;1060;791
2019;3;1157;668
2019;4;1174;663
2019;5;1871;781
2019;6;1260;775
2019;7;1499;834
2019;8;1540;1278
2019;9;2317;1775
2019;10;1325;1840
2019;11;1476;2074
2019;12;1646;2762
2019;13;2953;3803
2019;14;1214;1156
2019;15;1606;1233
2019;16;617;409
2019;17;1637;996
2019;18;2427;1112
2019;19;1820;1044
2019;20;1619;823
2019;21;2431;1086
2019;22;1906;1287
2019;23;1686;1355
2019;24;1576;1499
2019;25;1947;2145
2019;26;2707;2400
2019;27;1327;779
2019;28;1388;731
2019;29;1045;664
2019;30;961;719
2019;31;1372;841
2019;32;1303;792
2019;33;1380;902
2019;34;1639;1119
2019;35;2642;1654
2019;36;900;1122
2019;37;938;1194
2019;38;1057;1300
2019;39;1510;2002
2019;40;1455;961
2019;41;1187;710
2019;42;1370;801
2019;43;1543;826
2019;44;2120;1025
2019;45;1244;883
2019;46;1494;985
2019;47;1596;820
2019;48;1728;896
2019;49;1452;629
2019;50;1794;954
2019;51;2686;1221
2019;52;1071;304
2019;53;828;315
2020;1;418;273
2020;2;1080;840
2020;3;1090;925
2020;4;1185;878
2020;5;1557;1320
2020;6;986;1027
2020;7;1178;1256
2020;8;1206;1206
2020;9;1826;1656
2020;10;1191;1208
2020;11;1283;1524
2020;12;992;1634
2020;13;1249;1755
2020;14;1285;1518
2020;15;420;497
2020;16;603;676
2020;17;923;865
2020;18;1302;963
2020;19;920;799
2020;20;1096;884
2020;21;1003;681
2020;22;1527;1076
2020;23;827;726
2020;24;1108;982
2020;25;1459;1059
2020;26;1888;1602
2020;27;2085;1269
2020;28;1230;902
2020;29;1049;795
2020;30;942;834
2020;31;1198;1270
2020;32;1120;974
2020;33;1036;1238
2020;34;1080;1272
2020;35;1346;1723
2020;36;1291;1948
2020;37;1215;1922
2020;38;1276;2036
2020;39;1486;2455
2020;40;1577;2293
2020;41;826;1784
2020;42;1092;1830
2020;43;1069;1792
2020;44;1749;1869
2020;45;961;1291
2020;46;1174;1435
2020;47;1259;1591
2020;48;1586;2084
